98922941 function calls (84103311 primitive calls) in 94.514 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
2592/1152    0.037    0.000    1.107    0.001 contour.py:1103(changed)
    12133    0.037    0.000    0.259    0.000 lines.py:1128(set_linewidth)
     4620    0.037    0.000    0.037    0.000 _methods.py:99(_clip)
    50999    0.037    0.000    0.037    0.000 enum.py:777(__reduce_ex__)
    20075    0.036    0.000    0.141    0.000 artist.py:727(set_figure)
        1    0.036    0.036   94.537   94.537 <ipython-input-1-452339ee3171>:29(two_player_game)
      135    0.036    0.000    0.036    0.000 {built-in method torch._foreach_norm}
    32284    0.035    0.000    2.038    0.000 artist.py:1209(_internal_update)
    19590    0.035    0.000    0.164    0.000 artist.py:436(set_transform)
    32317    0.035    0.000    0.035    0.000 tile.py:16(__init__)
    28804    0.035    0.000    0.044    0.000 artist.py:449(get_transform)
    57173    0.035    0.000    1.400    0.000 tile.py:118(<lambda>)
    35835    0.035    0.000    0.215    0.000 _methods.py:67(_all)
    18382    0.035    0.000    0.186    0.000 colors.py:221(is_color_like)
    33533    0.034    0.000    0.085    0.000 {method 'union' of 'set' objects}
      438    0.034    0.000    5.175    0.012 axis.py:1295(_update_ticks)
    24416    0.034    0.000    0.076    0.000 tile.py:46(get_road_ends)
    10265    0.034    0.000    0.059    0.000 road_util.py:51(outgoing_roads_for_position)
     5213    0.034    0.000    0.444    0.000 text.py:194(update)
2124/2077    0.033    0.000    0.171    0.000 {built-in method builtins.__build_class__}
     1687    0.033    0.000    0.822    0.000 _base.py:388(_plot_args)
      432    0.033    0.000    0.035    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    15767    0.033    0.000    0.265    0.000 transforms.py:795(unit)
     5067    0.032    0.000    1.182    0.000 text.py:104(__init__)
    62597    0.032    0.000    0.169    0.000 coordinate_with_side.py:14(__hash__)
      135    0.032    0.000    0.242    0.002 clip_grad.py:36(clip_grad_norm_)
    59328    0.032    0.000    0.032    0.000 core.py:3443(dtype)
      720    0.032    0.000    0.913    0.001 text.py:737(draw)
    18382    0.032    0.000    0.222    0.000 colors.py:240(_check_color_like)
    15144    0.031    0.000    0.043    0.000 cbook.py:2356(_is_torch_array)
    17335    0.031    0.000    0.054    0.000 _base.py:557(<dictcomp>)
     9208    0.031    0.000    0.058    0.000 path.py:162(_fast_from_codes_and_verts)
    41271    0.031    0.000    0.104    0.000 artist.py:281(convert_yunits)
    52271    0.031    0.000    0.107    0.000 tile.py:117(<lambda>)
     8928    0.031    0.000    0.153    0.000 transforms.py:2763(_revalidate)
     4608    0.031    0.000    0.133    0.000 collections.py:799(_set_edgecolor)
    62995    0.031    0.000    0.044    0.000 coordinate.py:10(__hash__)
     7526    0.030    0.000    0.116    0.000 _base.py:1174(_set_artist_props)
    12133    0.030    0.000    0.052    0.000 lines.py:1070(set_drawstyle)
    12133    0.030    0.000    0.188    0.000 lines.py:1058(set_color)
     3744    0.030    0.000    0.915    0.000 collections.py:894(update_scalarmappable)
      147    0.029    0.000    4.061    0.028 _base.py:1257(__clear)
22608/22032    0.029    0.000    0.328    0.000 {method 'view' of 'numpy.ndarray' objects}
    16848    0.029    0.000    0.052    0.000 core.py:1338(_replace_dtype_fields)
      821    0.029    0.000    0.423    0.001 possible_move_finder.py:67(__possible_meeple_positions)
      288    0.028    0.000    0.033    0.000 ImagePalette.py:57(colors)
     1633    0.028    0.000    0.312    0.000 city_util.py:88(find_cities)
      270    0.028    0.000    0.028    0.000 {built-in method torch._foreach_mul_}
    10230    0.028    0.000    0.293    0.000 _nanfunctions_impl.py:640(nansum)
     9261    0.028    0.000    0.037    0.000 city_util.py:35(opposite_edge)
   181881    0.028    0.000    0.028    0.000 {method 'popleft' of 'collections.deque' objects}
      288    0.027    0.000    2.790    0.010 contour.py:715(__init__)
      135    0.027    0.000    0.027    0.000 {built-in method torch.clamp}
    15527    0.027    0.000    0.036    0.000 transforms.py:242(x0)
    23998    0.026    0.000    0.172    0.000 axis.py:1802(convert_units)
      438    0.026    0.000    0.048    0.000 numeric.py:2315(isclose)
    33364    0.026    0.000    0.026    0.000 fromnumeric.py:70(<dictcomp>)
     9500    0.026    0.000    0.034    0.000 road_util.py:16(opposite_edge)
     5474    0.026    0.000    0.173    0.000 colors.py:416(to_rgba_array)
     4525    0.026    0.000    0.139    0.000 axis.py:494(update_position)
    17684    0.026    0.000    0.287    0.000 fromnumeric.py:214(reshape)
      288    0.026    0.000    0.146    0.001 __init__.py:74(contour_generator)
12902/10298    0.026    0.000    0.900    0.000 _base.py:850(viewLim)
    12133    0.026    0.000    0.121    0.000 lines.py:737(set_transform)
    41877    0.025    0.000    0.025    0.000 __init__.py:152(<genexpr>)
15585/7295    0.025    0.000    1.383    0.000 _base.py:992(get_yaxis_transform)
    35501    0.025    0.000    0.025    0.000 artist.py:298(axes)
    17155    0.025    0.000    0.025    0.000 {method 'tolist' of 'numpy.ndarray' objects}
     4560    0.025    0.000    0.351    0.000 text.py:65(_get_text_metrics_with_cache)
